Abbr,Year,Updated Date,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
Fast-ThinkAct, 2026-01-15, 2026-01-19, https://arxiv.org/pdf/2601.09708, -, From Complex Instructions to Robust and Real-Time Execution;Security Interpretability and Reliable Interaction, Real-Time Execution and Computing Efficiency;Error Detection and Autonomous Recovery, Compress reasoning into compact verbalizable latent tokens via preference-guided distillation and visual trajectory alignment to enable real-time inference and failure recovery;Employ a verbalizer to decode latent representations into natural language for interpretable and grounded reasoning, RL and BC and Predictive Modeling, AIST;PixMo;RoboFAC;RoboVQA;ShareRobot;EgoPlan;Video-R1;OXE;Aloha;LIBERO, SimplerEnv;LIBERO;RoboTwin 2.0;EgoPlan-Bench2;RoboVQA;OpenEQA;RoboFAC
CLARE, 2026-01-14, 2026-01-19, https://arxiv.org/pdf/2601.09512, https://tum-lsy.github.io/clare, Generalization and Adaptation for Continuous Learning, Continual Learning and Incremental Skill Acquisition, Utilizes lightweight modular adapters with an autonomous autoencoder-based routing mechanism to dynamically expand the model without requiring task identifiers, BC, LIBERO, LIBERO
VLingNav, 2026-01-13, 2026-01-19, https://arxiv.org/pdf/2601.08665, https://wsakobe.github.io/VLingNav-web/, From Complex Instructions to Robust and Real-Time Execution;Generalization and Adaptation for Continuous Learning;Dataset Construction and Benchmarking Standards, Hierarchical Planning and Task Decomposition;Online Interaction and Reinforcement Learning;Multi-Source Heterogeneous Data, Introduces an adaptive chain-of-thought mechanism dynamically triggering explicit reasoning only when necessary;Incorporates an online expert-guided reinforcement learning stage to acquire more robust self-explored navigation behaviors;Constructs the largest embodied navigation dataset enriched with adaptive chain-of-thought annotations, BC and RL, Nav-AdaCoT-2.9M;HM3D;MP3D;EVT-Bench, HM3D ObjNav;HM3D OVON;MP3D ObjNav;EVT-Bench;HM3D Instance ImageNav
ActiveVLA, 2026-01-13, 2026-01-19, https://arxiv.org/pdf/2601.08325, https://ZhenyangLiu.github.io/ActiveVLA, Multi-Modal Fusion and Physical World Representation, From 2D Images to Spatial Temporal Representations, Projects 3D inputs onto multi-view 2D representations to identify critical regions and uses active view selection with 3D zoom-in for precise manipulation, BC, RoboPoint;RLBench;COLOSSEUM;GemBench, RLBench;COLOSSEUM;GemBench
TT-VLA, 2026-01-11, 2026-01-19, https://arxiv.org/pdf/2601.06748, -, Generalization and Adaptation for Continuous Learning, Online Interaction and Reinforcement Learning, Formulates a dense reward mechanism leveraging step-by-step task-progress signals to refine action policies during test time via value-free PPO, RL, ManiSkill3, ManiSkill3;Real-World Manipulation Tasks
IVRA, 2026-01-22, 2026-01-27, https://arxiv.org/pdf/2601.16207, https://jongwoopark7978.github.io/IVRA, Multi-Modal Fusion and Physical World Representation, From 2D Images to Spatial Temporal Representations, Inject affinity hints from the frozen vision encoder into language model layers to restore spatial structure without retraining, -, -, VIMA;LIBERO
SigEnt-SAC, 2026-01-22, 2026-01-27, https://arxiv.org/pdf/2601.15761, -, Generalization and Adaptation for Continuous Learning, Online Interaction and Reinforcement Learning, Introduces sigmoid bounded entropy to prevent negative entropy driven optimization toward out of distribution actions and uses gated behavior cloning to stabilize policy optimization, RL and BC, D4RL, D4RL
NeuroVLA, 2026-01-21, 2026-01-27, https://arxiv.org/pdf/2601.14628, -, From Complex Instructions to Robust and Real-Time Execution, Hierarchical Planning and Task Decomposition;Real-Time Execution and Computing Efficiency;Error Detection and Autonomous Recovery, Decomposes control into cortical semantic planning and cerebellar adaptive modulation to separate high-level reasoning from low-level execution;Leverages event-driven spiking neural networks on neuromorphic hardware to achieve millisecond inference latency and extreme energy efficiency;Bypasses high-latency cortical loops using force-sensitive spinal reflexes for immediate collision detection and withdrawal, BC and Predictive Modeling, LIBERO, LIBERO
TwinBrainVLA, 2026-01-20, 2026-01-27, https://arxiv.org/pdf/2601.14133, https://github.com/ZGC-EmbodyAI/TwinBrainVLA, Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning, The GAP between Semantics Perception and Physical Interaction;Open-World Generalization, Synergizes a frozen generalist VLM with a trainable specialist VLM via Asymmetric Mixture-of-Transformers;Decouples semantic understanding from embodied action estimation to preserve open-world capabilities, BC and Predictive Modeling, Bridge-V2;Fractal, SimplerEnv;RoboCasa
DTP,2026-01-22,2026-01-27,https://arxiv.org/pdf/2601.16065,https://anonymous.4open.science/r/CBD3,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Develop a plug-and-play Distracting Token Pruning framework that dynamically detects and prunes task-irrelevant image tokens to correct visual attention patterns and improve task success rates,-,-,SIMPLER;LIBERO
DynamicVLA, 2026-01-29, 2026-02-02, https://arxiv.org/pdf/2601.22153, https://haozhexie.com/project/dynamic-vla, From Complex Instructions to Robust and Real-Time Execution;Dataset Construction and Benchmarking Standards, Real-Time Execution and Computing Efficiency;Evaluation and Benchmark, Integrates a compact VLA with continuous inference and latent-aware action streaming to enable real-time closed-loop adaptation;Constructs the DOM benchmark using an automated pipeline to gather large-scale dynamic manipulation data across simulation and real-world, BC, DOM, DOM
IROS, 2026-01-29, 2026-02-02, https://arxiv.org/pdf/2601.21506, -, From Complex Instructions to Robust and Real-Time Execution, Real-Time Execution and Computing Efficiency, Deploys a dual-process architecture that couples fast reflexive perception with conditional deliberative VLM reasoning to enable real-time navigation on embedded hardware, -, -, -
AutoEval, 2026-01-26, 2026-02-02, https://arxiv.org/pdf/2601.18723, https://term-bench.github.io/, Dataset Construction and Benchmarking Standards;Security Interpretability and Reliable Interaction, Evaluation and Benchmark;Interpretability and Trustworthy Interaction, Construct Eval-Actions benchmark explicitly integrating failure scenarios and mixed trajectory sources for diagnostic assessment;Employ AutoEval framework with GRPO to enhance logical reasoning capabilities and verify source authenticity, Predictive Modeling and RL, Eval-Actions, Eval-Actions
TaF-VLA, 2026-01-28, 2026-02-02, https://arxiv.org/pdf/2601.20321, -, Multi-Modal Fusion and Physical World Representation;Dataset Construction and Benchmarking Standards, The GAP between Semantics Perception and Physical Interaction;Multi-Source Heterogeneous Data, Grounds high-dimensional tactile observations in physical interaction forces via a tactile-force adapter using contrastive learning;Develops an automated data acquisition device to collect synchronized visuotactile images and force measurements at scale, BC and Predictive Modeling, TaF-Dataset;Force-aware manipulation dataset, Real-world force-aware manipulation tasks
AIR-VLA, 2026-01-29, 2026-02-02, https://arxiv.org/pdf/2601.21602, https://anonymous.4open.science/r/AIR-VLA-dataset-B5CC/, Dataset Construction and Benchmarking Standards, Multi-Source Heterogeneous Data;Evaluation and Benchmark, Construct a multimodal dataset of 3000 manually teleoperated demonstrations covering base manipulation and object spatial understanding and semantic reasoning and long-horizon planning;Establish a physics-based simulation environment and propose multi-dimensional metrics to systematically evaluate mainstream VLA models and VLM models on aerial tasks, BC and Predictive Modeling, AIR-VLA, AIR-VLA
World-VLA-Loop, 2026-02-06, 2026-02-12, https://arxiv.org/pdf/2602.06508, https://showlab.github.io/World-VLA-Loop/, Multi-Modal Fusion and Physical World Representation, Dynamic and Predictive World Models, Refine a world model using a curated dataset of near-success trajectories and optimize the policy via virtual reinforcement learning within a closed loop, BC and Predictive Modeling and RL, SANS;ManiSkill, LIBERO
VISTA, 2026-02-04, 2026-02-12, https://arxiv.org/pdf/2602.05049, https://vista-vla.github.io/, Multi-Modal Fusion and Physical World Representation, The GAP between Semantics Perception and Physical Interaction, Align action prediction with visual input via preference optimization on a track-following surrogate task and transfer enhanced alignment through latent-space distillation, BC, LIBERO;CALVIN, LIBERO;CALVIN
QVLA, 2026-02-03, 2026-02-12, https://arxiv.org/pdf/2602.03782, https://github.com/AutoLab-SAI-SJTU/QVLA, From Complex Instructions to Robust and Real-Time Execution, Real-Time Execution and Computing Efficiency, Introduce a channel-wise bit allocation strategy based on action-space sensitivity to optimize VLA model compression for real-time robotic deployment, BC, LIBERO;ALOHA;CALVIN, LIBERO;ALOHA;CALVIN
LaRA-VLA, 2026-02-01, 2026-02-12, https://arxiv.org/pdf/2602.01166, https://lara-vla.github.io/, Multi-Modal Fusion and Physical World Representation, Dynamic and Predictive World Models, Internalize multimodal reasoning into continuous latent representations through a curriculum-based training paradigm to enable efficient action-oriented control without explicit text generation, BC and Predictive Modeling, LIBERO-LaRA;Bridge-LaRA, LIBERO;SimplerEnv
CAG, 2026-02-19, 2026-02-19, https://arxiv.org/abs/2602.17659v1, https://vla-va.github.io/, Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation, Evaluation and Benchmark;The GAP between Semantics Perception and Physical Interaction, Introduce LIBERO-CF as the first counterfactual benchmark to evaluate language following capability by assigning alternative instructions under visually plausible layouts;Propose Counterfactual Action Guidance as a simple yet effective dual-branch inference scheme that explicitly regularizes language conditioning in VLAs, BC, LIBERO;OXE;DROID, LIBERO-CF;LIBERO
LAP, 2026-02-15, 2026-02-19, https://arxiv.org/pdf/2602.10556v2, https://lap-vla.github.io, Generalization and Adaptation for Continuous Learning, Open-World Generalization, Represent low-level robot actions directly in natural language to align action supervision with the pre-trained vision-language model input-output distribution, BC and Predictive Modeling, DROID;Fractal;Bridge;MolmoAct, LIBERO;DROID;Custom Franka;YAM;Kinova
AC2-VLA, 2026-01-27, 2026-02-19, https://arxiv.org/pdf/2601.19634v1, https://github.com/SunnyYWD/AC-2-VLA, From Complex Instructions to Robust and Real-Time Execution, Real-Time Execution and Computing Efficiency, Propose an action-prior router that adaptively coordinates cognition caching token pruning and layer skipping supported by action-guided self-distillation, BC and Predictive Modeling, OXE, SIMPLER
RL-Co, 2026-02-16, 2026-02-19, https://arxiv.org/pdf/2602.12628, https://github.com/RLinf/RLinf, Generalization and Adaptation for Continuous Learning, Sim-to-Real Gap in Deployment;Online Interaction and Reinforcement Learning, Warm-start the policy with supervised fine-tuning on a mixture of real and simulated demonstrations;Fine-tune the policy with reinforcement learning in simulation while adding an auxiliary supervised loss on real-world data to anchor the policy, BC and RL, Custom Real-World Demonstrations;MimicGen, Custom Real-World Tasks;ManiSkill
JALA, 2026-02-25, 2026-02-26, https://arxiv.org/pdf/2602.21736, https://research.beingbeyond.com/jala, Multi-Modal Fusion and Physical World Representation;Dataset Construction and Benchmarking Standards, The GAP between Semantics Perception and Physical Interaction;Multi-Source Heterogeneous Data, Learn a predictive action embedding aligned with both inverse dynamics and real actions;Construct UniHand-Mix hybrid corpus blending laboratory and in-the-wild human manipulation footage, BC and Predictive Modeling, UniHand-Mix;Ego4D;LIBERO;RoboCasa, LIBERO;RoboCasa;GR1
SimVLA, 2026-02-23, 2026-02-26, https://arxiv.org/pdf/2602.18224, https://frontierrobo.github.io/SimVLA, Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation, Evaluation and Benchmark;The GAP between Semantics Perception and Physical Interaction, Establish a transparent reference point for VLA research by standardizing critical training dynamics;Strictly decouple perception from control using a standard vision language backbone and a lightweight action head, BC, LIBERO;Fractal;BridgeData-V2;Galaxea Open-World Dataset, LIBERO;LIBERO-PRO;SimplerEnv;Galaxea R1 Lite
VLANeXt, 2026-02-24, 2026-02-26, https://arxiv.org/pdf/2602.18532, https://dravenalg.github.io/VLANeXt/, Multi-Modal Fusion and Physical World Representation, The GAP between Semantics Perception and Physical Interaction, Systematically dissects design choices along foundational components perception essentials and action modelling perspectives to distill a practical recipe for building strong VLA models, BC, LIBERO;DROID, LIBERO;LIBERO-plus
WoVR, 2026-02-15, 2026-02-26, https://arxiv.org/pdf/2602.13977, https://github.com/RLinf/RLinf, Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning, Dynamic and Predictive World Models;Online Interaction and Reinforcement Learning, Build a rollout-stable action-controllable video world model with dual-channel action injection and first-frame anchoring;Regulate hallucination through Keyframe-Initialized Rollouts and a policy-aligned co-evolution strategy for stable on-policy optimization entirely in imagination, RL and BC and Predictive Modeling, LIBERO;Real-Robot, LIBERO;Franka Panda
ULTRA, 2026-03-03, 2026-03-09, https://arxiv.org/abs/2603.03279，https://ultra-humanoid.github.io, Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning, The GAP between Semantics Perception and Physical Interaction;Sim-to-Real Gap in Deployment, Propose a unified multimodal controller bridging egocentric perception and sparse task specifications with physical loco manipulation;Apply reinforcement learning finetuning on a distilled student policy to improve robustness and bridge the sim to real gap, RL and BC, OMOMO, IsaacGym;MuJoCo;Unitree G1
CoWVLA, 2026-03-03, 2026-03-09, https://arxiv.org/abs/2603.03195, https://fx-hit.github.io/cowvla-io/, Multi-Modal Fusion and Physical World Representation, Dynamic and Predictive World Models, Unifies world-model temporal reasoning with a disentangled latent motion representation by explicitly factorizing video segments into structure and motion latents, BC and Predictive Modeling, OpenVLA;Bridge V2, LIBERO;SimplerEnv;CALVIN
HD-ExpIt, 2026-03-05, 2026-03-09, https://arxiv.org/abs/2603.05291,https://github.com/clemgris/HD-ExpIt, From Complex Instructions to Robust and Real-Time Execution;Generalization and Adaptation for Continuous Learning, Hierarchical Planning and Task Decomposition;Online Interatction and Reinforcement Learning, Organizes training into a self-reinforcing cycle utilizing diffusion-based planning to autonomously discover successful behaviors;Iteratively fine-tunes hierarchical diffusion policies from environment feedback bypassing the need for explicit proxy models, BC and RL, CALVIN;Franka-3Blocks, CALVIN;Franka-3Blocks
SkillsCrafter, 2026-03-05, 2026-03-09, https://arxiv.org/pdf/2603.05160, https://skillscrafter-lifelong.github.io/, Generalization and Adaptation for Continuous Learning, Continual Learning and Incremental Skill Acquisition;Open-World Generalization, Propose a Manipulation Skills Adaptation to retain the old skills knowledge while inheriting the shared knowledge between new and old skills to facilitate learning of new skills;Propose a Skills Specialization Aggregation to compute inter-skills similarity in skill semantic subspaces achieving aggregation of the previously learned skill knowledge for any new or unknown skill, BC and Predictive Modeling, RLBench;UR5, LLCRM Benchmark;RLBench
SeedPolicy, 2026-03-05, 2026-03-09, https://arxiv.org/pdf/2603.05117, https://github.com/Youqiang-Gui/SeedPolicy, Multi-Modal Fusion and Physical World Representation, From 2D Images to Spatial Temporal Representations, Propose Self-Evolving Gated Attention to maintain a time-evolving latent state via gated attention enabling efficient recurrent updates that compress long-horizon observations into a fixed-size representation, BC, RoboTwin 2.0;Dexmal Dos W1, RoboTwin 2.0;Dexmal Dos W1
SPIRIT, 2026-03-05, 2026-03-09, https://arxiv.org/pdf/2603.05111, https://sites.google.com/view/robotspirit, Security Interpretability and Reliable Interaction, Reliability and Safety Assurance;Interpretability and Trustworthy Interaction, Use uncertainty estimates from DL perception to transition between semi-autonomous manipulation and haptic teleoperation;Provide an interface with haptic and visual feedback to communicate uncertainty to operators, Predictive Modeling, BlenderProc synthetic data;T-LESS;ITODD, User study;NASA TLX;System Usability Scale
3D-Adv, 2026-03-05, 2026-03-09, https://arxiv.org/pdf/2603.04913, -, Security Interpretability and Reliable Interaction, Reliability and Safety Assurance, Proposes a viewpoint-consistent adversarial texture optimization method for 3D objects through differentiable rendering using Expectation over Transformation and a Coarse-to-Fine curriculum, RL, YCB, ManiSkill3
VPWEM, 2026-03-05, 2026-03-09, https://arxiv.org/pdf/2603.04910, https://github.com/HarryLui98/code_vpwem, Multi-Modal Fusion and Physical World Representation, From 2D Images to Spatial Temporal Representations, Propose VPWEM which introduces a contextual memory compressor that recursively converts out-of-window observations into a fixed number of episodic memory tokens, BC, MIKASA;MoMaRT;Robomimic, MIKASA;MoMaRT;Robomimic
RoboMME, 2026-03-04, 2026-03-09, https://arxiv.org/pdf/2603.04639, https://robomme.github.io/, Dataset Construction and Benchmarking Standards, Evaluation and Benchmark, Introduce a large-scale standardized benchmark comprising 16 manipulation tasks to systematically evaluate memory representations and integration strategies in VLA models, BC, RoboMME, RoboMME
RoboLight, 2026-03-04, 2026-03-09, https://arxiv.org/pdf/2603.04249, -, Dataset Construction and Benchmarking Standards, Multi-Source Heterogeneous Data;Evaluation and Benchmark, We propose RoboLight as the first real-world robotic manipulation dataset capturing synchronized episodes under systematically varied lighting conditions and introduce an interpolation-based data scaling strategy in HDR space;We verify the dataset quality through real-world policy roll-outs and demonstrate use cases including a lighting robustness benchmark, BC, RoboLight, RoboLight
G0, 2025-08-30, 2026-03-09, https://arxiv.org/pdf/2509.00576, https://opengalaxea.github.io/G0/, Dataset Construction and Benchmarking Standards;From Complex Instructions to Robust and Real-Time Execution, Evaluation and Benchmark;Hierarchical Planning and Task Decomposition, Present Galaxea Open-World Dataset a large-scale diverse collection of robot behaviors recorded in authentic environments;Introduce G0 a dual-system framework that couples a Vision-Language Model for multimodal planning with a Vision-Language-Action model for fine-grained execution, BC and Predictive Modeling, Galaxea Open-World Dataset;OXE, Table bussing;Microwave operation;Make the bed;Build blocks
ABot-M0, 2026-02-11, 2026-03-09, https://arxiv.org/pdf/2602.11236, https://amap-cvlab.github.io/ABot-Manipulation, Dataset Construction and Benchmarking Standards;Multi-Modal Fusion and Physical World Representation, Multi-Source Heterogeneous Data;From 2D Images to Spatial Temporal Representations, Construct a unified large-scale dataset by cleaning and standardizing six open-source datasets;Integrate VLM semantics with geometric priors using a dual-stream mechanism to enhance spatial understanding, BC and Predictive Modeling, OXE;OXE-AugE;AgiBot-Beta;RoboCOIN;RoboMind;Galaxea, LIBERO;LIBERO-Plus;RoboCasa;RoboTwin2.0
RoboGene, 2026-02-19, 2026-03-09, https://arxiv.org/pdf/2602.16444, -, Dataset Construction and Benchmarking Standards;Generalization and Adaptation for Continuous Learning, Multi-Source Heterogeneous Data;Open-World Generalization, Automate the generation of diverse physically plausible manipulation tasks via an agentic framework;Pre-train VLA models on generated datasets to achieve zero-shot generalization to unseen environments, BC, RoboGene, Real-World Tasks
CoVer-VLA, 2026-02-18, 2026-03-09, https://arxiv.org/pdf/2602.12281, https://cover-vla.github.io, From Complex Instructions to Robust and Real-Time Execution, Parsing Complex Instructions;Error Detection and Autonomous Recovery, Precompute diverse instruction rephrases at boot time to capture complex semantics;Train a contrastive verifier on offline data to score alignment and select the optimal action chunk at test time, BC and Predictive Modeling, BridgeV2;Open-X Embodiment, SIMPLER;PolaRiS
Timing, 2026-03-06, 2026-03-16, https://arxiv.org/pdf/2603.06538, -, From Complex Instructions to Robust and Real-Time Execution, Hierarchical Planning and Task Decomposition, Propose a unified approach that learns both symbolic and subsymbolic temporal task constraints from human demonstrations to generate temporally parametrized plans for robot execution without manual design, BC and Predictive Modeling, Bimacs;BiManip, Bimacs;BiManip
Analogies, 2026-03-06, 2026-03-16, https://arxiv.org/pdf/2603.06450, -, Generalization and Adaptation for Continuous Learning;Dataset Construction and Benchmarking Standards, Open-World Generalization;Multi-Source Heterogeneous Data, Use paired demonstrations that align scenes tasks and trajectories across different embodiments to improve cross-embodiment transfer;Change the composition of the data by balancing coverage across morphology and viewpoint and adding trajectory-level pairing, BC, OXE;BRIDGE;DROID;MimicGen, RoboCasa;Real-World Tabletop Tasks
LeRobot, 2026-02-26, 2026-03-16, https://arxiv.org/pdf/2602.22818, -, Dataset Construction and Benchmarking Standards, Multi-Source Heterogeneous Data;Evaluation and Benchmark, Presents an open-source library that integrates the entire robot learning stack from low-level middleware communication to large-scale dataset collection storage and streaming;Introduces a unified multimodal dataset schema and supports reproducible evaluations, RL and BC, PushT;LeRobotDataset, LIBERO;MetaWorld
Dance2Hesitate, 2026-03-10, 2026-03-16, https://arxiv.org/pdf/2603.10166, https://brsrikrishna.github.io/Dance2Hesitate/, Dataset Construction and Benchmarking Standards, Multi-Source Heterogeneous Data, We introduce and open-source a multi-modal dancer-generated dataset of hesitant motion where we focus on specific context-embodiment pairs, -, -, -
XL-VLA, 2026-03-10, 2026-03-16, https://arxiv.org/pdf/2603.10158, https://xl-vla.github.io, Generalization and Adaptation for Continuous Learning, Open-World Generalization, We introduce a shared latent action space tailored for dexterous hands that serves as an embodiment-invariant representation enabling joint training across heterogeneous hands, BC and Predictive Modeling, custom teleoperation dataset, real-world manipulation tasks
SPR, 2026-03-10, 2026-03-16, https://arxiv.org/pdf/2603.09292, https://tingjundai.github.io/SPRVLA/, From Complex Instructions to Robust and Real-Time Execution, Hierarchical Planning and Task Decomposition;Error Detection and Autonomous Recovery, Dynamically grounds language instructions into a sequence of spatial subgoals via a continuous See and Plan cycle;Rewinds to a recoverable state upon failure by monitoring progress against the expected sequence without requiring additional training data, BC and Predictive Modeling, LIBERO, LIBERO;LIBERO-Plus
AtomVLA, 2026-03-09, 2026-03-16, https://arxiv.org/pdf/2603.08519, -, From Complex Instructions to Robust and Real-Time Execution;Multi-Modal Fusion and Physical World Representation, Hierarchical Planning and Task Decomposition;Dynamic and Predictive World Models, Leverage a large language model to decompose high-level demonstrations into fine-grained atomic subtasks;Employ a predictive latent world model to score candidate action trajectories against subtask goals for efficient policy refinement, BC and Predictive Modeling and RL, LIBERO, LIBERO;LIBERO-PRO
Ψ0, 2026-03-12, 2026-03-23, https://arxiv.org/pdf/2603.12263, https://psi-lab.ai/Psi0, Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution, The GAP between Semantics Perception and Physical Interaction;Real-Time Execution and Computing Efficiency, Propose a staged training paradigm decoupling VLM pre-training on human videos from action expert post-training on humanoid data;Introduce training-time real-time action chunking to mitigate motion jitter caused by model inference latency, BC and Predictive Modeling, EgoDex;Humanoid Everyday, Real-World Humanoid Tasks
RoboClaw, 2026-03-12, 2026-03-23, https://arxiv.org/pdf/2603.11558, -, From Complex Instructions to Robust and Real-Time Execution, Hierarchical Planning and Task Decomposition;Error Detection and Autonomous Recovery, A VLM acts as a meta-controller performing high-level decision making through in-context learning over environmental observations and structured memory;The agent continuously monitors subtask states and validates execution conditions to trigger recovery behaviors when necessary, BC, Custom Real-World Dataset, Real-World Scenarios
HandelBot, 2026-03-15, 2026-03-23, https://arxiv.org/pdf/2603.12243, https://amberxie88.github.io/handelbot, Generalization and Adaptation for Continuous Learning, Sim-to-Real Gap in Deployment;Online Interatction and Reinforcement Learning, Apply a structured refinement stage to correct spatial alignments by adjusting lateral finger joints based on physical rollouts;Use residual reinforcement learning to autonomously learn fine-grained corrective actions, RL, -, Twinkle Twinkle;Ode to Joy;Hot Cross Buns;Prelude in C;Fur Elise
DreamPlan, 2026-03-17, 2026-03-23, https://arxiv.org/pdf/2603.16860, https://psi-lab.ai/DreamPlan/, Multi-Modal Fusion and Physical World Representation, Dynamic and Predictive World Models, Learns an action conditioned video world model from exploratory interaction data to fine tune the VLM planner entirely offline via virtual rollouts, RL and Predictive Modeling, Custom exploratory interaction data, rope straightening;cloth folding;toy arm repositioning
CRL, 2026-03-12, 2026-03-23, https://arxiv.org/pdf/2603.11653, https://github.com/UT-Austin-RobIn/continual-vla-rl, Generalization and Adaptation for Continuous Learning, Continual Learning and Incremental Skill Acquisition;Online Interatction and Reinforcement Learning, Apply simple sequential fine-tuning with low-rank adaptation to mitigate catastrophic forgetting;Utilize on-policy reinforcement learning to implicitly regularize policy updates and maintain plasticity, RL, LIBERO;RoboCasa;ManiSkill, LIBERO;RoboCasa;ManiSkill
ActionAtlas, 2026-03-19, 2026-03-23, https://arxiv.org/pdf/2603.19233, https://action-atlas.com, Security Interpretability and Reliable Interaction, Interpretability and Trustworthy Interaction, Apply activation injection sparse autoencoders and linear probes to expose spatially bound motor programs and pathway specialization across six architectures, BC, LIBERO;MetaWorld;SimplerEnv;ALOHA, LIBERO;MetaWorld;SimplerEnv;ALOHA
SAE, 2026-03-19, 2026-03-30, https://arxiv.org/pdf/2603.19183, https://drvla.github.io, Security Interpretability and Reliable Interaction, Interpretability and Trustworthy Interaction, We train Sparse Autoencoders on hidden layer activations of the VLA to probe internal representations, BC, LIBERO;DROID, LIBERO
ATG-MoE, 2026-03-19, 2026-03-30, https://arxiv.org/pdf/2603.19029, https://hwh23.github.io/ATG-MoE, Multi-Modal Fusion and Physical World Representation, From 2D Images to Spatial Temporal Representations, Reconstructs point clouds from visual observations to provide richer geometric cues and maps the scene representation into the action space of the robot end-effector, BC and Predictive Modeling, Pressure-reducing valve assembly dataset, Pressure-reducing valve assembly task
Fast-WAM, 2026-03-17, 2026-03-30, https://arxiv.org/pdf/2603.16666, https://yuantianyuan01.github.io/FastWAM/, Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution, Dynamic and Predictive World Models;Real-Time Execution and Computing Efficiency, Retains video co-training during training to improve latent world representations;Skips explicit future prediction at test time to predict actions directly from current observation, BC and Predictive Modeling, LIBERO;RoboTwin, LIBERO;RoboTwin
MoDE-VLA, 2026-03-09, 2026-03-30, https://arxiv.org/pdf/2603.08122, -, Multi-Modal Fusion and Physical World Representation;From Complex Instructions to Robust and Real-Time Execution, The GAP between Semantics Perception and Physical Interaction;Hierarchical Planning and Task Decomposition, Integrates heterogeneous force and tactile modalities into a pretrained VLA backbone utilizing a residual injection mechanism;Introduces IMCopilot as a suite of reinforcement learning-trained atomic skills serving as callable low-level execution primitives, RL and BC, Self-collected teleoperation data, Apple Peeling;Charger Plugging;Tube Rearranging;Gear Assembling
VAMPO, 2026-03-19, 2026-03-30, https://arxiv.org/pdf/2603.19370, https://vampo-robot.github.io/VAMPO, Multi-Modal Fusion and Physical World Representation, Dynamic and Predictive World Models, Formulate multi-step denoising as a sequential decision process and optimize the denoising policy with rewards defined over expert visual dynamics in latent space, BC and Predictive Modeling and RL, CALVIN ABC, CALVIN;L-CALVIN
EgoDex, 2026-03-09, 2026-03-30, https://arxiv.org/pdf/2505.11709, https://github.com/apple/ml-egodex, Dataset Construction and Benchmarking Standards, Multi-Source Heterogeneous Data;Evaluation and Benchmark, Use Apple Vision Pro to collect a massive diverse dataset of egocentric video with paired 3D hand tracking;Systematically train and evaluate imitation learning policies for hand trajectory prediction to measure progress, BC and Predictive Modeling, EgoDex, EgoDex
FlashSAC, 2026-04-06, 2026-04-08, https://arxiv.org/pdf/2604.04539, https://holiday-robot.github.io/FlashSAC, Generalization and Adaptation for Continuous Learning, Sim-to-Real Gap in Deployment;Online Interaction and Reinforcement Learning, Reduces training time from hours to minutes for sim-to-real humanoid locomotion by bounding weight feature and gradient norms;Scales up models and data throughput while sharply reducing gradient updates adopting supervised learning scaling laws, RL, -, IsaacLab;ManiSkill;Genesis;MuJoCo Playground;DMC-Visual
Think3D,2026-03-17,2026-04-08,https://arxiv.org/pdf/2601.13029,https://github.com/zhangzaibin/spagent,Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning,The GAP between Semantics Perception and Physical Interaction;From 2D Images to Spatial Temporal Representations;Online Interaction and Reinforcement Learning,Integrates 3D reconstruction and manipulation tools to transform passive 2D perception into active 3D spatial exploration;Reconstructs 3D point clouds from multi-view images enabling iterative viewpoint manipulation for 3D chain-of-thought reasoning;Optimizes multi-step exploration policy via GRPO reinforcement learning without operation-trajectory annotations,RL,VSI-Bench;BLINK Multi-view;MindCube,VSI-Bench-tiny;BLINK Multi-view;MindCube
DIAL,2026-03-31,2026-04-08,https://arxiv.org/pdf/2603.29844,https://xpeng-robotics.github.io/dial,Multi-Modal Fusion and Physical World Representation;Generalization and Adaptation for Continuous Learning,The GAP between Semantics Perception and Physical Interaction;Open-World Generalization,Bridge highlevel decision making and lowlevel motor execution via differentiable latent intent bottleneck where System2 synthesizes visual foresight in native ViT features and System1 decodes into actions through latent inverse dynamics;Enable robust zero-shot generalization via decoupled warmup training that aligns modules in consistent latent space before endtoend refinement with actionaware gradients,BC and Predictive Modeling,EgoDex;RoboCasa,RoboCasa GR1 Tabletop;real-world IRON-R01-1.11
