略称,Year,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
VQ-VLA,2025,https://arxiv.org/pdf/2507.01016,https://xiaoxiao0406.github.io/vqvla.github.io/,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages a VQ-VAE tokenizer to compress long trajectories into compact discrete tokens,BC,OXE;LIBERO;ManiSkill;RLBench,LIBERO-10;LIBERO-GOAL;LIBERO-90
XR-1,2025,https://arxiv.org/pdf/2511.02776,https://xr-1-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages VQ-VAE–learned discrete visual–motor tokens to guide policy learning,BC ,OXE;RoboMind;Ego4D;XR-D,XR-1
SmolVLA,2025,https://arxiv.org/pdf/2506.01844,https://github.com/huggingface/smollm,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages asynchronous execution to predict the next action chunk during current execution,BC ,Hugging Face ; LIBERO; MetaWorld,LIBERO
Time-Diffusion Policy,2025,https://arxiv.org/pdf/2506.09422,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages a unified velocity field to replace time-varying denoising,BC ,RLBench,RLBench
Discrete Diffusion VLA,2025,https://arxiv.org/pdf/2508.20072,https://github.com/Liang-ZX/DiscreteDiffusionVLA,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Discretizes actions into tokens and employs masked diffusion with parallel prediction,BC ,OXE;Fractal;Bridge Data;LIBERO,SimplerEnv-Fractal
ECoT-Lite,2025,https://arxiv.org/pdf/2505.08243v1,https://github.com/MichalZawalski/embodied-CoT,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages reasoning traces during training while bypassing explicit reasoning at inference,BC,LIBERO;Bridge Data,LIBERO
V-JEPA,2025,https://arxiv.org/pdf/2506.09985,https://github.com/facebookresearch/vjepa2,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Predicting compressed semantic representations instead of raw pixels,Predictive Modeling,VideoMix22M; Droid,Kinetics-400;Something-Something V2
Fast-in-Slow,2025,https://arxiv.org/pdf/2506.01953,https://fast-in-slow.github.io/,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages a dual-system model coordinating slow reasoning and fast reactions,BC and Predictive Modeling,OXE;DROID;RoboMind,RLBench
AMS,2025,https://arxiv.org/pdf/2405.09045,https://github.com/AMS-Net/ams-net.github.io,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Introduces OS-level action context caching and replay mechanisms,BC ,AMSNet,MLLM4EDA
FedVLA,2025,https://arxiv.org/pdf/2508.02190,-,From Complex Instructions to Robust and Real-Time Execution,Real-Time Execution and Computing Efficiency,Leverages federated learning for efficient distributed VLA training,BC,OXE,MetaWorld
Octo,2024,https://arxiv.org/pdf/2405.12213,https://octo-models.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain Transformer on 800k trajectories and use lightweight adapters,BC and Predictive Modeling,OXE,WidowX
DexVLA,2025,https://arxiv.org/pdf/2502.05855,https://dex-vla.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain diffusion action experts across morphologies with a three stage curriculum,BC ,Self collecting,LIBERO
RoboCat,2023,https://arxiv.org/pdf/2306.11706,https://github.com/kyegomez/RoboCAT,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on heterogeneous multi robot data and update on real trajectories,BC ,ImageNet;DeepMind Control Suite,RGB Stacking Benchmark
Dita,2024,https://arxiv.org/pdf/2503.19757,https://robodita.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Use OXE dataset and diffusion Transformers to learn cross environment behaviors,BC ,OXE; Droid,SimplerEnv
EO-1,2025,https://arxiv.org/pdf/2508.21112,https://github.com/eo-robotics/EO1,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain a shared backbone on 1.5M EO Data,BC,LLaVA-1.5;LLaVA-Video-178K;PixMo-Points,RoboVQA
R3M,2022,https://arxiv.org/pdf/2203.12601,https://sites.google.com/view/robot-r3m/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain visual encoders on massive human first-person videos,Predictive Modeling,Ego4D,Franka Kitchen
Ego4D,2022,https://arxiv.org/pdf/2110.07058,https://ego4d-data.org/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain visual encoders on massive human first-person videos,Predictive Modeling,Ego4D,Episodic Memory
GR-1,2023,https://arxiv.org/pdf/2312.13139,https://gr1-manipulation.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on massive human egocentric video datasets,Predictive Modeling,Ego4D,CALVIN
Gr-2,2024,https://arxiv.org/pdf/2410.06158,https://gr2-manipulation.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on massive human egocentric video datasets,Predictive Modeling,HowTo100M; Ego4D; Something-Something V2,CALVIN;Real-World Evaluation
ICIL,2024,https://arxiv.org/pdf/2408.15980,https://icrt.dev/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages in-context learning to infer tasks from few-shot demonstrations without retraining,BC and Predictive Modeling,DROID,ICIL
TRA,2025,https://arxiv.org/pdf/2502.05454,https://tra-paper.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Use temporal contrastive loss to structure representation space,BC and Predictive Modeling and RL,Bridge Data,Real-World Evaluation 
ObjectVLA,2025,"""https://arxiv.org/pdf/2502.19250",https://objectvla.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Jointly train on robot trajectories and box labeled VL corpora,BC ,ObjectVLA-Demo,ObjectVLA-Bench
LERF,2023,https://arxiv.org/pdf/2303.09553,https://www.lerf.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Fuse CLIP with 3D NeRFs,BC,LERF-Demo,LERF-Bench
RUM,2025,https://arxiv.org/pdf/2508.12922,https://github.com/kairanzhao/RUM,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pair large scale home demonstrations with multimodal LLM reasoning,BC and Predictive Modeling,-,-
Align-Then-Steer,2025,https://arxiv.org/pdf/2509.02055,https://github.com/TeleHuman/Align-Then-Steer,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages a latent-space adapter to steer a frozen VLA model non-invasively,BC and Predictive Modeling,DROID; Kuka; ALOHA,RoboTwin
CACTI,2022,https://arxiv.org/pdf/2212.05711,https://cacti-framework.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages Stable Diffusion for zero-shot inpainting to diversify expert images without extra rollouts,BC and Predictive Modeling,CACTI-Sim-100,CACTI-Sim-100
GenAug,2023,https://arxiv.org/pdf/2302.06671,https://genaug.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages text-to-image synthesis from few-shot demos and prompts to generate diverse consistent scenes,BC ,Self-built Data,-
ROSIE,2023,https://arxiv.org/pdf/2302.11550,https://diffusion-rosie.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Distill internet scale VLM knowledge into robot training,BC and Predictive Modeling,RT-1; Self collecting,ROSIE
LMM-3DP,2025,https://arxiv.org/pdf/2501.18733,https://lmm-3dp-release.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages a high-level planner for abstract knowledge and a low-level executor for reusable skills,BC,Self-built Data,Real-Robot Evaluation
BAKU,2024,https://arxiv.org/pdf/2406.07539,https://baku-robot.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages dynamic multimodal sensor fusion,BC ,LIBERO-90; MetaWorld; DeepMind Control Suite,LIBERO-90;MetaWorld
StructDiffusion,2022,https://arxiv.org/pdf/2211.04604,https://structdiffusion.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages language guided diffusion to generate multiple action structures,Predictive Modeling,-,Google Scanned Objects with Pybullet
Think Small Act Big,2025,https://arxiv.org/pdf/2504.00420,-,Generalization and Adaptation for Continuous Learning,Continual Learning and Incremental Skill Acquisition,Leverages new prompts or codebook entries to add skills without modifying existing components,BC,MimicGen,LIBERO
SPECI,2025,https://arxiv.org/pdf/2504.15561,-,Generalization and Adaptation for Continuous Learning,Continual Learning and Incremental Skill Acquisition,Leverages new prompts or codebook entries to add skills without modifying existing components,BC,LIBERO,LIBERO
InstructVLA,2025,https://arxiv.org/pdf/2507.17520,https://yangs03.github.io/InstructVLA_Home/,Generalization and Adaptation for Continuous Learning,Continual Learning and Incremental Skill Acquisition,Leverages a two-stage paradigm with a MoE to route between reasoning and action modules,BC and Predictive Modeling,Bridge Data;Fractal;RT-1;RT-1-X,VLMEvalKit
iManip,2025,https://arxiv.org/pdf/2503.07087,https://github.com/Ghy0501/Awesome-Continuall-Learning-in-Generative-Models,Generalization and Adaptation for Continuous Learning,Continual Learning and Incremental Skill Acquisition,Add skill specific weights while freezing old ones,BC ,RLBench,RLBench
ExpReSVLA,2025,https://arxiv.org/pdf/2511.06202,-,Generalization and Adaptation for Continuous Learning,Continual Learning and Incremental Skill Acquisition,Use Compressed Experience Replay,BC,OpenVLA pretraining dataset,LIBERO
SLIM,2025,https://arxiv.org/pdf/2410.09615,https://github.com/Paramathic/slim,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Compress RGB into segmentation and depth maps,BC and Predictive Modeling,C4,MMLU;PIQA
MaiSkill3,2024,https://arxiv.org/pdf/2410.00425,https://github.com/haosulab/ManiSkill,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Leverages GPU-parallel rendering domain randomization and background composition,BC,ManiSkill3,ManiSkill3
GenAug,2023,https://arxiv.org/abs/2302.06671,https://github.com/genaug/genaug,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Leverages  web scale image generative models to synthesize images from few demonstrations,,10 real world table,real world evaluation
DreamGen,2025,https://arxiv.org/pdf/2505.12705,https://github.com/nvidia/GR00T-dreams,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Train a world model on massive real world data,Predictive Modeling and RL,GR1 humanoid teleoperation pick-and-place; RoboCasa; DROID,RoboCasa
RynnVLA-001,2025,https://arxiv.org/pdf/2509.15212,https://github.com/alibaba-damo-academy/RynnVLA-001,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Pretrain large scale video generation with human centric trajectory modeling,BC and Predictive Modeling,Self collecting ego-centric human manipu-demo; EgoDex,CALVIN
RIDG,2024,https://arxiv.org/pdf/2412.09858,https://generalist-distillation.github.io/,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Train specialist RL policies then distill trajectories into VLA,RL ,Generating by RL,Connector Insertion
Refined Policy Distillation,2025,https://arxiv.org/pdf/2503.05833,https://refined-policy-distillation.github.io/,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Add MSE constraint to guide RL agent,RL ,ManiSkill3,ManiSkill3
iRe-VLA,2025,https://arxiv.org/pdf/2501.16664,https://github.com/HaochenZ11/IRef-VLA,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Freeze backbone and train lightweight action head in alternating phases,RL ,MetaWorld,MetaWorld
CO-RFT,2025,https://arxiv.org/pdf/2508.02219,https://github.com/cccedric/conrft,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning, designs a chunked temporal difference learning mechanism that feeds entire action sequences into the critic to predict multi step returns ,RL ,CO-RFT,CO-RFT
VLM-RMs,2023,https://arxiv.org/pdf/2310.12921,https://github.com/AlignmentResearch/vlmrm,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Infer rewards via perceptual alignment in shared embedding space,Predictive Modeling and RL,-,CartPole;MountainCar
RoboCLIP,2023,https://arxiv.org/pdf/2310.07899,https://sites.google.com/view/roboclip/home,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Leverages video trajectories by computing video language similarity for sparse rewards ,BC and Predictive Modeling,HowTo100M,MetaWorld;Franka Kitchen
Affordance-Guided RL,2024,https://arxiv.org/pdf/2407.10341,https://sites.google.com/view/affordance-guided-rl,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Convert VLM predicted grasp points and trajectories into dense rewards,BC and Predictive Modeling,Bridge Data,PyBullet Bin-Sorting Cloth Covering
RL VLM-F,2024,https://arxiv.org/pdf/2402.03681,https://rlvlmf2024.github.io/,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Leverages GPT-4V to infer preference-based rewards from observation pairs without human labels,BC ,-,OpenAI Gym CartPole
GRAPE,2024,https://arxiv.org/pdf/2411.19309,https://grape-vla.github.io/,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Leverages VLMs to decompose tasks and generate stage-wise preferences for multi-objective rewards,Predictive Modeling and RL,Real-world SFT dataset; Simpler-Env SFT;  LIBERO,Real-world 30 tasks
Eureka,2023,https://arxiv.org/pdf/2310.12931,https://eureka-research.github.io/,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning, Prompt LLM with environment code and task specs to generate rewards,RL ,-,Isaac Gym
VIP,2023,https://arxiv.org/pdf/2210.00030,https://sites.google.com/view/vip-rl,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Perform implicit value optimization from video,,Ego4D,Franka Kitchen
VLA-RL,2025,https://arxiv.org/pdf/2505.18719,https://github.com/GuanxingLu/vlarl,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Finetune VLM into a structured process reward model,Predictive Modeling and RL,Dataset of OpenVLA; LIBERO,LIBERO
AutoRT,2025,https://arxiv.org/pdf/2401.12963,https://auto-rt.github.io/,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Leverages structured prompting to encode multi level constraints,BC,AutoRT,AutoRT
SafeVLA,2025,https://arxiv.org/pdf/2503.03480,https://pku-safevla.github.io/,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Leverages a cost function in a constrained MDP to model physically hazardous behaviors,RL ,CHORES,Safety-CHORES
Genimi Robotics,2025,https://arxiv.org/pdf/2503.20020,https://github.com/google-deepmind/gemini-robotics-sdk,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Leverages Constitutional AI post-training on safety data to enforce human-centric principles,BC and Predictive Modeling and RL,ALOHA 2;Embodied Reasoning;VQA,ERQA
GPI,2025,https://arxiv.org/pdf/2508.11960,-,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Leverages confidence estimation probabilistic action generation and language guided backtracking to replan under uncertainty,Predictive Modeling and RL,-,VIMA-Bench;Ravens
RationalVLA,2025,https://arxiv.org/pdf/2506.10826,https://irpn-eai.github.io/RationalVLA/,Security Interpretability and Reliable Interaction,Reliability and Safety Assurance,Uses a learnable refusal token to reject unsafe or invalid commands,BC and Predictive Modeling and RL,CALVIN A/B/C splits + RAMA,CALVIN ABC
Diffusion-VLA,2024,https://arxiv.org/pdf/2412.03293,https://diffusion-vla.github.io/,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Condition diffusion policy on natural language reasoning,Predictive Modeling and RL,Droid;OXE,Real-World Multi-Task Learning
ECoT,2024,https://arxiv.org/pdf/2407.08693,https://embodied-cot.github.io/,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction, Leverages editable step-by-step rationales that users can correct via language,BC,Bridge Data;RT-2-X,ECoT
CoT-VLA,2025,https://arxiv.org/pdf/2503.22020,https://cot-vla.github.io/,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Adds visual subgoal images to render intermediate plans observable,BC and Predictive Modeling,Jaco Play;Berkeley Autolab UR5;Berkeley Fanuc Manipulation,LIBERO
RT-H,2024,https://arxiv.org/pdf/2403.01823,https://rt-hierarchy.github.io/,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Leverages separated language-action generation to enable self-explanation and language-level intervention,BC,Kitchen,RT-H
CrayonRobo,2025,https://arxiv.org/pdf/2505.02166,-,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Uses structured semantically explicit visual prompts to externalize decision logic into a shared and interpretable language,BC,SAPIEN + PartNet-Mobility,CrayonRobo
SwitchVLA,2025,https://arxiv.org/pdf/2506.03574,https://switchvla.github.io/,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Use structured task switching with rollback of conflicting actions,BC and Predictive Modeling,LIBERO-Goal,LIBERO-Goal
Hi Robot,2025,https://arxiv.org/pdf/2502.19417,https://www.pi.website/research/hirobot,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Outputs readable low-level commands from a high-level planner ,BC,Teleoperated robot demonstrations;D_syn,Hi Robot
GraSPVLA,2025,https://arxiv.org/pdf/2511.04357,https://github.com/PKU-EPIC/GraspVLA,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Uses symbolic state conversion of visual inputs for planning in a symbolic space,BC and Predictive Modeling,Bridge Data; RT-X,DAHLIA
DIARC-OpenVLA,2025,https://arxiv.org/pdf/2502.04558v1,-,Security Interpretability and Reliable Interaction,Interpretability and Trustworthy Interaction,Train linear probes to map hidden activations to symbolic states for transparent monitoring,BC and Predictive Modeling and RL,Dataset of OpenVLA,LIBERO-spatial
Moto,2025,https://arxiv.org/pdf/2401.03306,https://github.com/linhlpv/awesome-offline-to-online-RL-papers,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Uses unsupervised or self-supervised learning to acquire task-centric latent action representations from videos,,MetaWorld; Franka Kitchen,MetaWorld
LAPA,2024,https://arxiv.org/pdf/2410.11758,https://latentactionpretraining.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Uses unsupervised or self-supervised learning to acquire task-centric latent action representations from videos,BC and RL,Language Table; OXE;Something-Something V2,WidowX 7DOF
UniVLA,2025,https://arxiv.org/pdf/2505.06111,https://github.com/OpenDriveLab/UniVLA,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Uses unsupervised or self-supervised learning to acquire task-centric latent action representations from videos,BC,OXE; Ego4D; Bridge Data,CALVIN
RDT-1B,2024,https://arxiv.org/pdf/2410.07864,https://rdt-robotics.github.io/rdt-robotics/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Map diverse robot actions into unified physical or latent semantic vectors,BC,RT-1;DROID;RH20T,RDT-1B
AgiBot,2025,https://arxiv.org/pdf/2503.06669,https://opendrivelab.com/AgiBot-World/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Map diverse robot actions into unified physical or latent semantic vectors,BC and Predictive Modeling,AgiBot Dataset;OXE,AgiBot
Cross-Embodied Learning,2024,https://arxiv.org/pdf/2408.11812,https://crossformer-model.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Tokenize visual and proprioceptive inputs for a shared Transformer,BC and RL,DROID;ALOHA-multi-task;GNM,WidowX Manipulation
RT-1,2022,https://arxiv.org/pdf/2212.06817,https://robotics-transformer1.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use unified tokenization semantic alignment or self supervised learning for VLA grounding,BC ,RT-1,RT-1
ViSA-Flow,2025,https://arxiv.org/pdf/2505.01288,https://visaflow-web.github.io/ViSAFLOW/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use unified tokenization semantic alignment or self supervised learning for VLA grounding,BC and Predictive Modeling,AMASS; HumanML3D; Motion-X,CALVIN ABC
Humanoid-VLA,2025,https://arxiv.org/pdf/2502.14795,https://github.com/AllenXuuu/HumanVLA,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use unified tokenization semantic alignment or self supervised learning for VLA grounding,BC and RL,Bridge Data; RT-X,T2M
EgoVLA,2025,https://arxiv.org/pdf/2507.12440,https://rchalyang.github.io/EgoVLA/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use MANO hand models and inverse kinematics,BC and Predictive Modeling,Ego-Centric Human Manipulation Dataset,Ego Humanoid Manipulation Benchmark
Dexwild,2025,https://arxiv.org/pdf/2505.07813,https://dexwild.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use MANO hand models and inverse kinematics,BC and Predictive Modeling,DexWild-System human demo ,Dexwild
CACTI,2022,https://arxiv.org/pdf/2212.05711,https://cacti-framework.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,augment robot data via inpainting or restyling,BC,CACTI,CACTI
GenAug,2023,https://arxiv.org/pdf/2302.06671,https://genaug.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,augment robot data via inpainting or restyling,BC and Predictive Modeling,GenAug,GenAug
ROSIE,2023,https://arxiv.org/pdf/2302.11550,https://diffusion-rosie.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,provides semantic-level enrichment using VLM priors,BC and Predictive Modeling,RT-1,ROSIE
Re-Mix,2024,https://arxiv.org/pdf/2408.14037,https://github.com/jhejna/remix,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Adjust sampling weights of heterogeneous data subsets via performance feedback,BC,Bridge Data;OXE; RoboMimic NutAssemblySquare,RoboMimic NutAssemblySquare
RH20T,2023,https://arxiv.org/pdf/2307.00595,https://rh20t.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Enforce strict temporal alignment across sensors,BC and Predictive Modeling,RH20T,RH20T
BridgeData v2,2023,https://arxiv.org/pdf/2308.12952,https://rail-berkeley.github.io/bridgedata/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,integrates diverse data types into a standardized format,BC and Predictive Modeling,Bridge Data,Bridge Data
RoboCasa,2024,https://arxiv.org/pdf/2406.02523,https://robocasa.ai/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Provide large scale high fidelity digital environments,BC and Predictive Modeling and RL,RoboCasa,RoboCasa
CoVLA,2025,https://arxiv.org/pdf/2408.10845,https://turingmotors.github.io/covla-ad/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Provide large scale high fidelity digital environments,BC and Predictive Modeling and RL,CoVLA,CoVLA
Ego4D,2022,https://openaccess.thecvf.com/content/CVPR2022/papers/Grauman_Ego4D_Around_the_World_in_3000_Hours_of_Egocentric_Video_CVPR_2022_paper.pdf,https://ego4d-data.org/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,teaching robots to operate in human environments,BC and Predictive Modeling and RL,Ego4D,Ego4D
EPIC-KITCHENS,2020,https://arxiv.org/pdf/2005.00343,https://epic-kitchens.github.io/2025,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,teaching robots to operate in human environments,BC and Predictive Modeling,EPIC-KITCHENS,EPIC-KITCHENS
Ego-Exo4D,2024,https://arxiv.org/pdf/2311.18259,https://ego-exo4d-data.org/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Fuse first person and third person perspectives,BC and Predictive Modeling and RL,Ego-Exo4D,Ego-Exo4D
RoboMM,2024,https://arxiv.org/pdf/2412.07215,https://github.com/EmbodiedAI-RoboTron/RoboTron-Mani,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Use three level semantic alignment for joint training,BC and Predictive Modeling,RoboData,CALVIN;MetaWorld
OXE,2023,https://arxiv.org/pdf/2310.08864,https://robotics-transformer-x.github.io/,Dataset Construction and Benchmarking Standards,Multi-Source Heterogeneous Data,Aggregate multiple datasets into a single benchmark,BC and Predictive Modeling,OXE,OXE
RLBench,2025,https://arxiv.org/pdf/1909.12271,https://github.com/stepjam/RLBench,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,-,BC and Predictive Modeling and RL,RLBench,RLBench
RoboMimic,2021,https://arxiv.org/pdf/2108.03298,https://github.com/ARISE-Initiative/robomimic,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Uses human demonstration data to evaluate offline learning methods and identify challenges in leveraging human-generated data,-,Machine-Generated (MG);Proficient-Human (PH);Multi-Human (MH),RoboMimic
EUQ,2025,https://arxiv.org/pdf/2502.13105v2,-,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Uses a human-assessed multidimensional scoring system to capture process quality beyond binary success,-,-,-
ManiSkills,2024,https://arxiv.org/pdf/2410.00425,https://github.com/haosulab/ManiSkill,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Contributes standardized APIs and task suites,BC and Predictive Modeling and RL,ManiSkill3,ManiSkill3
robosuits,2020,https://arxiv.org/pdf/2009.12293,https://github.com/ARISE-Initiative/robosuite,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Contributes standardized APIs and task suites,BC and Predictive Modeling and RL,-,RoboSuite
CALVIN,2022,https://arxiv.org/pdf/2112.03227,https://github.com/mees/calvin,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,require the execution of long sequences of language-guided operations,BC and Predictive Modeling and RL,CALVIN,CALVIN
LIBERO,2023,https://arxiv.org/pdf/2306.03310,https://libero-project.github.io/intro.html,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Introduces the first lifelong-robotics benchmark with standardized metrics,BC and Predictive Modeling and RL,LIBERO,LIBERO
Ego-Exo4D,2024,https://arxiv.org/pdf/2311.18259,https://ego-exo4d-data.org/,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Introdues synchronized first-third-person recordings,BC and Predictive Modeling and RL,Ego-Exo4D,Ego-Exo4D
From Intention to Execution,2025,https://arxiv.org/pdf/2506.09930,https://ai4ce.github.io/INT-ACT/,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Uses intention-execution gap probing to cover object diversity linguistic complexity and visual-language reasoning,BC and Predictive Modeling and RL,Bridge Data,INT-ACT
InstructVLA,2025,https://arxiv.org/pdf/2507.17520,https://yangs03.github.io/InstructVLA_Home/,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Releases SimplerEnv-Instruct with 80 zero-shot tasks,BC and Predictive Modeling,Bridge Data;OXE;RT-1;RT-2,SimplerEnv;SimplerEnv-Instruct
Benchmarking VLAs,2024,https://arxiv.org/pdf/2411.05821,https://multinet.ai/static/pages/Multinetv01.html,Dataset Construction and Benchmarking Standards,Evaluation and Benchmark,Uses unified IO metrics and multi robot coverage as a blueprint shifting focus from tasks to metrics,BC,OXE,OXE
ProphRL, 2025-11-25, https://arxiv.org/pdf/2511.20633, https://LogosRoboticsGroup.github.io/ProphRL,Generalization and Adaptation for Continuous Learning,Online Interaction and Reinforcement Learning,Pretrain a unified action-conditioned world model (Prophet) on diverse robot data,BC and Predictive Modeling and RL, AgiBot;DROID;OXE;LIBERO,LIBERO;SimplerEnv-WidowX;BRIDGE
DiG-Flow, 2025-12-1, https://arxiv.org/pdf/2512.01715, https://beingbeyond.github.io/DiG-Flow,Generalization and Adaptation for Continuous Learning,Sim-to-real Gap in Deployment,Compute a distributional discrepancy between observation and action embeddings to guide residual feature updates for robust flow matching,Predictive Modeling,LIBERO;RoboCasa,LIBERO;RoboCasa
RAGNet, 2025-7-31, https://arxiv.org/pdf/2507.23734, https://github.com/Dexmal-AI/RAGNet, Dataset Construction and Benchmarking Standards, Evaluation and Benchmark, construct a large-scale reasoning-based affordance segmentation dataset and propose AffordanceNet for open-world grasping, -, HANDAL;OXE;EgoObjects;GraspNet, HANDAL;GraspNet Novel;3DOI;RLBench
